title,price,condition,shipping,link
14 Lenovo ThinkPad Laptop: Intel i5! 16GB RAM! 512GB NVME SSD! Secondary BatteryOpens in a new window or tab,$270.00,Not specified,See details,https://www.ebay.com/itm/116423296043?_skw=laptop&itmmeta=01KEHQ9KA036N159NBH49K2MAQ&hash=item1b1b5e842b:g:0okAAeSwRohpObzr&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cZ2Vu9Rbwbhqjn7EWrMyAi7rDzCDtG8Qo6jSsrSfs26sLMTllK1XZ3cBTVhOQjaB4dlcQy6g86QTQL6eWbTUVSPkHiupGPvD3CCbwpGsJZz3kBIPgrWmfsKO1k48nVKYLwHeRBJrFn2cxiKSEnBQhGFk4hTd76JFFGYVJx6DPvvh2LF%2BxM%2B2vxqK9QlAs98SN4spA21Wk2wY3VbrXBHU%2BGjpNAbesih2ebZ5cnqZCPDw%3D%3D%7Ctkp%3ABk9SR661prf0Zg
Dell Latitude Laptop 11.6” HD 8GB RAM 128GB SSD Intel Pentium Silver Win 11 WiFiOpens in a new window or tab,$129.99,Not specified,See details,https://www.ebay.com/itm/256696935114?_skw=laptop&itmmeta=01KEHQ9KA036RN46YARDWPT9TZ&hash=item3bc45462ca:g:5P8AAeSw1PVpOp1s&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d6%2FArczjQyl9wr8zmWIxt9R%2Bf6Kpfezt4V4n8uUbGW%2Fb2sqf%2FuHnoWZ3xSyzdvcB11yihpdplNTfoaPSa7xjP0sFyKsaA1ITz0SpgT3ZcVJJCk3kYcWMEvW0IxEYlJfzLeMcUE2o3fCBOyLCXxjx6N2HmYlvb1AYlGsacLIow3hDbZWfPDH7ktkHbbp%2F6Kb7odmj74UQ%2FDCyKZyqimJS0uP0aeMFdGvQcDPA0xHQ20rg%3D%3D%7Ctkp%3ABk9SR661prf0Zg
"Dell Touchscreen Chromebook 3100 11.6"" Celeron 1.1GHz/4GB/32GB SSD - P30T001Opens in a new window or tab",$39.39,Not specified,See details,https://www.ebay.com/itm/354615329816?_skw=laptop&epid=14068657883&itmmeta=01KEHQ9KA0C5Y4QPFTZT3P2FJZ&hash=item5290b88418:g:9boAAOSwa1hoNyFQ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fi4gdkS4ZmX9Afy8v5wGQ40AYQ5YwxJfbgJvXRulCm%2Fiu1Tpe3k0d7cBzQeXPrmhDby%2BJzZS703Uido5b35e6PqKFZ8YPc%2Bhz2Zh78%2FR0Q3d%2Fer4iRETMxqwcEDE%2Fs8xt1CBJQ%2FcLRGEnnsQ1RmBUDvOw6ZkjR5WJgnaXRB%2FeAa6AgHzsKQkRMdPmjMTh%2Bh5O%2F6Y3G78nnLizwWuXcwloddjoGkZEIHfTsxxaX1eL39xhz2yQk%2BiyGTXx37mFt9rglFJb452bT%2FtL3LFHVApcp%7Ctkp%3ABk9SR661prf0Zg
"Dell Latitude 14"" Laptop Computer Intel i7 Up To 32GB RAM 1TB SSD Windows 11 ProOpens in a new window or tab",$314.38,Not specified,See details,https://www.ebay.com/itm/286865561827?_skw=laptop&itmmeta=01KEHQ9KA03TYPGEB3MW86T4S8&hash=item42ca8518e3:g:eqwAAeSwFRZpVAJQ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fu3eEckABBgg1%2B%2FzMFZel9h0PLlbWuYNN%2FnGtYc0zIgRLwk0kPtlT%2BJkWj9tTXlc7uX5rAPbNxAEBvs7oD0PJZlukxl8%2F19TK56NXy%2B%2F2QE48zmQ03bTnXiNCmAhR9ffXrDltbIkVNHViRzF3ELPllEN4V%2BOP8HKh9iC3UciYPANM1Hebu04nuFsJNZMWKW9O3gmO%2FI9f4g6B9Z3l--x0yrpp6eVnwGNeGBGV12donlA%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
"HP EliteBook 840 G7 14"" Touchscreen Laptop, Intel Core i5-10th Gen, 16GB RAM, 51Opens in a new window or tab",$288.00,Not specified,See details,https://www.ebay.com/itm/197720826902?_skw=laptop&itmmeta=01KEHQ9KA08XE13CKV3V2WW83M&hash=item2e09146416:g:FTgAAeSw56xpHgrf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f5AcMcvWqap8MtFyEE%2BuK7kJSxZTX8QWm%2BXQxNPkbmYVJX9MiIunQ01gr4EP8F7qb2zT6s4C4llDqLQ91sdPDTj203Htr69ytf9dXe%2F9zCwZGZE%2FgNBEglOh%2B3ZNTMSPkQ0Vl33d9TRDJvMl4s871rJcIm0sVXtqKb3m9%2B1fQ1zS%2B02Nrc9lCeJTCn7356Az%2Ffk4CwXG0ED%2Be0hJIVhYLk03cJnGzJfeaTBHgzDOXfdQ%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
GETAC S410  Laptop  i5-6300U 8GB 500GB HDD  TOUCH WIN11  BLUEOpens in a new window or tab,$333.33,Not specified,See details,https://www.ebay.com/itm/376753533819?_skw=laptop&itmmeta=01KEHQ9KA0QV3RYDZPA2CKPC25&hash=item57b842b37b:g:3qkAAeSwOJtpMc3I&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dq6wC4tNWmUXeH3Hbd%2F1IuzcwOBkEyf54Bh%2BYp1qP2ASfZvTIMnWRHBL2deXQejQwfWwYcXC3QDDI%2F6vPzyX7kSqrmBtAXgUB4HfJG87cz2o9BviQlMBYh18ff64iy28LxUzILSAcfCLwiZ9IkcbK2KwllpCmXo0jBvKe2iJILKRj4%2FZc4AUHWz%2FLF0p%2F6X5RpdBh8OIlm4y0HW32hSs%2B1Hre9Y0lrvGP3%2FmFjfoKzmg%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SDOpens in a new window or tab",$67.99,Not specified,See details,https://www.ebay.com/itm/115603286837?_skw=laptop&itmmeta=01KEHQ9KA0KWR8EF46EXYZM8ZS&hash=item1aea7e2b35:g:JIkAAeSwEZho62Kv&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fSG1F3u8BdGlhQgKULYGS4DTxcUOW5WGbVg3R4PkbTj2HGJNKzme5KiUTEgE%2FeZKSI%2F3MM8bnSE%2BQHagZJyfc4%2FgsSdwA7C%2FYsTJ2QaIl91y7r3vClBLzFMVBcRfahRek4mhb7wAEWJ%2BF6U5xjVGiACrj7U5n1FjMW4HIuYLxW0BQxYBXmoT5MJkO9G%2FYo9gGBEPAHjQOyXFbZ1S%2BjmtKihbBH0ukz%2BwOISET%2BMlkykQ%3D%3D%7Ctkp%3ABk9SR661prf0Zg
"Dell Latitude 5420 14"" Touch Laptop i5-1145G7 16GB RAM 256GB SSD Windows 11 ProOpens in a new window or tab",$175.00,Not specified,See details,https://www.ebay.com/itm/306609317978?_skw=laptop&itmmeta=01KEHQ9KA0T3XVGC3N26W4CD7R&hash=item476356e85a:g:i64AAeSwh9JogXSn&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fL6KHHZCYDI60ZXv5N8HQESaEEcz9M6KlOpje0eVzvZkT4n6yEt%2F6W%2F08%2B0%2B8LGIinqRySfIVfpYIwCvrhdcCSE9Ky7C5%2BKo%2F1troe7JiTraJvNysFU%2BC8UHeWnmyvfAgWgeJ5vRqlzl38iGN7wV0XGD3sYsiEFQP17CsHdHwBfIVWe%2Bp5dAFEIEY12Mvho6y4M87w2wSDacXViduZRcBJ7UGH7V5PfjVPEQTZcfPGGkueDBpfZlHJlmxn3i6jIyubUz0o6rRSKaiMpOV%2F9Fcb%7Ctkp%3ABk9SR661prf0Zg
Dell Latitude 5420 Laptop 14” HD Intel Core i5 16GB RAM 512GB SSD Windows 11 ProOpens in a new window or tab,$270.08,Not specified,See details,https://www.ebay.com/itm/267259406872?_skw=laptop&itmmeta=01KEHQ9KA0VVSGX7DP3H0NQJP6&hash=item3e39e6ea18:g:iwgAAeSwV71pX14o&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eEz17X88qI%2BULLgH0MpMbvjR1bUtD3jeZqO%2BtVgTMhRxtyFtN5%2F4dVk1%2FGutrXb5CEPrsM%2F0ej1k%2BkcFBdlyYOfQ6U8Wrde0oEBQtfHLdiqWcx5tvqQLocuTbmfl8qBCXIyYPAQelQaUE%2B2eWTzIbi384ACxZUaR4QDA6iRBHjX5SsYSPkJFoDRlv0o8qR3hLVpWwnUGbx4oakJ365rK7RCJ7pDycJP%2F6sZz8JlknzIqii5VTmzwtOm5pijKq3SnYeoA4JAcPoYIJaO3FT1usy%7Ctkp%3ABk9SR661prf0Zg
"Getac V110 G3 11.6"" Touch Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10Opens in a new window or tab",$135.00,Not specified,See details,https://www.ebay.com/itm/126834350335?_skw=laptop&itmmeta=01KEHQ9KA0012HFTMCFSNCSACA&hash=item1d87ea98ff:g:BEMAAOSwvaxnYGB1&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dBW5nlMDoBsWOZO0gfed9C8ae5ylTsqrsnVA9eZrXY6%2BSo22xt2a%2FtkfdVa0c8aBuL5bh4eIo%2FjJfMoxKCrNSxEfu8Zh2zWpqV%2FTEWUwoS2jkRm3gtdW276pqI0CTOKGHN12Hu7kbYKCMTVEAbw%2BnT1xltTdoJe%2BUePgLZgnwI1WBRsizp1DVMJX7Ast4r5CW9JzHgap%2Fhm%2BU0BoRL4y1PyEHFS7tdD%2BBipHY2xS%2Fscw%3D%3D%7Ctkp%3ABk9SR7C1prf0Zg
